analysis,replicate,index,id,polarity,pre_mz,pre_ce,pro_mz,rt,intensity,baseline,raw
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,250.375015258789,-1.68220202814089,58.921734498844,57.2395324707031
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,250.775009155273,-1.24785261864448,58.9890177797773,57.7411651611328
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,251.175018310547,-1.08796461806885,59.1087947724878,58.020830154419
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,251.575012207031,-0.971112001267684,59.2740594543578,58.3029474530901
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,251.975006103516,-0.816445987544597,59.4797460930482,58.6633001055036
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,252.375015258789,-0.690047131008527,59.719217576042,59.0291704450335
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,252.775009155273,-0.58355304379932,59.9871087776163,59.403555733817
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,253.175018310547,-0.491326538160998,60.2789405431136,59.7876140049526
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,253.575012207031,-0.40849692695484,60.5908639793056,60.1823670523507
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,253.975006103516,-0.330609063014485,60.9194457329364,60.5888366699219
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,254.375015258789,-0.255066785568005,61.2614765668878,61.0064097813198
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,254.775009155273,-0.180681541100547,61.6138605790121,61.4331790379116
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,255.175003051758,-0.106939978090672,61.9735639928089,61.8666240147182
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,255.575012207031,-0.0313241920949494,62.3375920666764,62.3062678745815
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,255.975006103516,0.0487488223610768,62.7028849579821,62.7516337803432
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,256.375,0.135215302787557,63.0662121569293,63.2014274597168
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,256.774993896484,0.230600940596496,63.4240937528326,63.6546946934291
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,257.175018310547,0.340441808923863,63.7726982972773,64.1131401062012
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,257.575012207031,0.471184829908296,64.107621366032,64.5788061959403
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,257.975006103516,0.629628677353168,64.4236304909992,65.0532591683524
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,258.375,0.820805671405481,64.7143996247022,65.5352052961077
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,258.774993896484,1.05226035458956,64.9723161050226,66.0245764596122
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,259.175018310547,1.29154824613023,65.230232585343,66.5217808314732
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,259.575012207031,1.53887533967986,65.4881490656633,67.0270244053432
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,259.975006103516,1.79519312972778,65.7460655459837,67.5412586757115
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,260.375,2.0602978024487,66.0039820263041,68.0642798287528
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,260.774993896484,2.33405529848156,66.2618985066245,68.595953805106
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,261.174987792969,2.61510104611877,66.5198149869449,69.1349160330636
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,261.575012207031,2.90180017510362,66.7777314672652,69.6795316423689
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,261.975006103516,3.19415486526314,67.0356479475856,70.2298028128488
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,262.375,3.49168555465538,67.293564427906,70.7852499825614
