analysis,replicate,index,id,polarity,pre_mz,pre_ce,pro_mz,rt,intensity
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,0.375,38.668155670166
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,0.774999976158142,38.9132499694824
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,1.17499995231628,39.1387939453125
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,1.57499992847443,39.3390655517578
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,1.97499990463257,39.5107269287109
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,2.375,39.6509170532227
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,2.77500009536743,39.7639274597168
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,3.17500019073486,39.8569107055664
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,3.57500004768372,39.9422645568848
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,3.97499990463257,40.0323867797852
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,4.375,40.130615234375
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,4.77500009536743,40.2498245239258
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,5.17500019073486,40.3847694396973
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,5.57499980926514,40.52734375
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,5.97499990463257,40.6637191772461
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,6.375,40.7900810241699
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,6.77499961853027,40.9212112426758
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,7.17499971389771,41.0523414611816
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,7.57499980926514,41.1930084228516
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,7.97500038146973,41.3374900817871
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,8.375,41.4843559265137
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,8.77499961853027,41.6288375854492
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,9.17500019073486,41.7613983154297
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,9.57499980926514,41.8806076049805
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,9.97500038146973,41.9878959655762
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,10.375,42.0956611633301
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,10.7749996185303,42.205810546875
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,11.1750001907349,42.3102378845215
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,11.5749998092651,42.4070358276367
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,11.9750003814697,42.5076484680176
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,12.375,42.6106452941895
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",0,0,0,0,12.7750005722046,42.722225189209
